,full_address,neighborhood,nid,sale_price,prediction,difference,pred_percent,shap
12,"542 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,3381000,2361957,-1019042,-0.4314396917471402,Pros - 1: year_sold = 2018 2: comp_price = 2240520   Cons - 1: nid = 1050 2: beds = 5 
13,"44 Seal Rock Dr, San Francisco, CA 94121",1 - Outer Richmond,1050,1850000,1793174,-56825,-0.03168961852000977,Pros - 1: year_sold = 2018 2: latitude = 37.780766   Cons - 1: nid = 1050 2: rooms = 8.0 
14,"662 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1825000,1568014,-256985,-0.16389203157624868,Pros - 1: year_sold = 2018 2: latitude = 37.775932   Cons - 1: comp_price = 1389131 2: baths = 1.0 
15,"1459 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1385000,1354132,-30867,-0.022794675851394105,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1208565 2: nid = 2030 
16,"787 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1500000,1613553,113553,0.07037450892533434,Pros - 1: year_sold = 2018 2: latitude = 37.77375   Cons - 1: nid = 1050 2: longitude = -122.50685 
17,"778 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1627991,197991,0.12161676569465064,Pros - 1: year_sold = 2018 2: latitude = 37.773876   Cons - 1: comp_price = 1500947 2: nid = 1050 
18,"811 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,849000,1343691,494691,0.36815830425298673,Pros - 1: year_sold = 2018 2: latitude = 37.773098   Cons - 1: comp_price = 1010511 2: nid = 1050 
19,"806 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,960000,1217172,257172,0.21128649032347113,Pros - 1: year_sold = 2018 2: latitude = 37.773163000000004   Cons - 1: comp_price = 1046400 2: baths = 1.0 
20,"4033 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1359377,159377,0.117242678079738,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1222814 2: nid = 2030 
21,"879 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1035000,1518918,483918,0.31859389381125247,Pros - 1: year_sold = 2018 2: latitude = 37.772009999999995   Cons - 1: comp_price = 1328691 2: baths = 1.0 
22,"1666 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225700,1163197,-62502,-0.053732944634485816,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 888434 2: baths = 1.0 
23,"4015 Ortega St, San Francisco, CA 94122-3945",2 - Outer Sunset,2030,1350000,1329613,-20386,-0.01533228089677222,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1282723 2: nid = 2030 
24,"2110 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1530000,1280572,-249427,-0.19477780241954376,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1160211 2: lot_sf = 2060.0 
25,"615 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1550537,-174462,-0.11251714728510187,Pros - 1: year_sold = 2018 2: latitude = 37.776817   Cons - 1: comp_price = 1332335 2: baths = 1.0 
26,"1367 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1480000,1375539,-104460,-0.07594114016396482,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1123719 2: nid = 2030 
27,"695 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1620000,1579999,-40000,-0.0253164717192859,Pros - 1: year_sold = 2018 2: latitude = 37.775535999999995   Cons - 1: lot_sf = 1750.0 2: nid = 1050 
28,"2263 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1000000,1233091,233091,0.18902984451269209,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1135706 2: baths = 1.0 
29,"1426 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2000000,1534063,-465936,-0.3037267700218309,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1428998 2: nid = 2030 
30,"1434 46th Ave, San Francisco, CA 94122-2903",2 - Outer Sunset,2030,1520000,1181447,-338552,-0.286557077888386,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 938985 2: baths = 1.0 
31,"2266 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1260111,60111,0.04770294045524561,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1161741 2: baths = 1.0 
32,"1466 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1610000,1278662,-331337,-0.2591279008838927,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1166653 2: baths = 1.0 
33,"2311 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1220000,1045397,-174602,-0.16701980204649525,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 991138 2: baths = 1.0 
34,"2583 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1450000,1337111,-112888,-0.0844267977752034,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1255109 2: nid = 2020 
35,"2683 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1123981,-76018,-0.06763281585720755,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1009447 2: nid = 2020 
36,"1889 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1500000,1341466,-158533,-0.11817891769154044,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1255704 2: lot_sf = 2063.0 
37,"2066 46th, San Francisco, CA 94116-1007",2 - Outer Parkside,2020,1030000,1279852,249852,0.1952194472485881,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1115346 2: baths = 1.0 
38,"2087 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1710000,1226354,-483645,-0.39437633831666874,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1212052 2: lot_sf = 1746.0 
39,"4327 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1602445,172445,0.1076136778485377,Pros - 1: year_sold = 2018 2: latitude = 37.773487   Cons - 1: comp_price = 1461142 2: nid = 1050 
40,"2190 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,2300000,1801033,-498966,-0.27704434066449646,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: nid = 2020 2: longitude = -122.5049 
41,"663 44th Ave, San Francisco, CA 94121-2506",1 - Outer Richmond,1050,1510000,1519010,9010,0.0059314948552017435,Pros - 1: year_sold = 2018 2: latitude = 37.776096   Cons - 1: baths = 1.0 2: comp_price = 1477946 
42,"710 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1422569,-127430,-0.0895773772660588,Pros - 1: year_sold = 2018 2: latitude = 37.775063   Cons - 1: comp_price = 1388925 2: lot_sf = 1750.0 
43,"2310 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1578000,1477311,-100688,-0.06815626499768837,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1406307 2: lot_sf = 2063.0 
44,"764 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1659355,-65644,-0.0395599494984497,Pros - 1: year_sold = 2018 2: latitude = 37.7742   Cons - 1: baths = 1.0 2: comp_price = 1509431 
45,"4515 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1180000,1163415,-16584,-0.014254586712394116,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1036079 2: baths = 1.0 
46,"1815 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1369233,69233,0.05056334458780938,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1381130 2: lot_sf = 2063.0 
47,"1894 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1216596,-83403,-0.06855439274829113,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1093270 2: lot_sf = 1746.0 
48,"1238 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1315000,1290478,-24521,-0.01900148627097866,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1159727 2: baths = 1.0 
49,"522 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1460000,1587997,127997,0.08060279710855876,Pros - 1: year_sold = 2018 2: latitude = 37.778664   Cons - 1: comp_price = 1441252 2: nid = 1050 
50,"4229 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1000000,1321367,321367,0.2432079808259174,Pros - 1: year_sold = 2018 2: latitude = 37.773533   Cons - 1: comp_price = 1191890 2: baths = 1.0 
51,"1278 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2500000,1871964,-628035,-0.33549523388270286,Pros - 1: year_sold = 2018 2: baths = 3.5   Cons - 1: nid = 2030 2: longitude = -122.50394399999999 
52,"2194 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,950000,1222846,272846,0.22312376210904725,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1189361 2: baths = 1.0 
53,"638 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1400000,1625113,225113,0.1385214443549464,Pros - 1: year_sold = 2018 2: latitude = 37.77653   Cons - 1: comp_price = 1464983 2: baths = 1.0 
54,"2200 45th Ave, San Francisco, CA 94116-2716",2 - Outer Parkside,2020,770000,1250311,480311,0.3841532226781977,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1120564 2: baths = 1.0 
55,"2200 45th Ave, San Francisco, CA 94116-1503",2 - Outer Parkside,2020,1000000,1097101,97101,0.08850689225513421,Pros - 1: year_sold = 2018 2: rooms = 4.0   Cons - 1: comp_price = 1120564 2: baths = 1.0 
56,"674 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1652166,-97833,-0.05921499413497191,Pros - 1: year_sold = 2018 2: latitude = 37.775954999999996   Cons - 1: nid = 1050 2: rooms = 8.0 
57,"1423 44th Ave, San Francisco, CA 94122-2928",2 - Outer Sunset,2030,1090000,1305879,215879,0.1653131722004872,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 957661 2: nid = 2030 
58,"2301 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1170140,1145011,-25128,-0.0219456406969016,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1148313 2: lot_sf = 1438.0 
59,"842 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1950000,1833128,-116871,-0.06375495873719675,Pros - 1: year_sold = 2018 2: latitude = 37.772736   Cons - 1: nid = 1050 2: longitude = -122.50353999999999 
60,"2415 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1055000,1064676,9676,0.00908821087354275,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1082250 2: lot_sf = 1071.0 
61,"876 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1760000,1850770,90770,0.04904445176872329,Pros - 1: year_sold = 2018 2: baths = 4.0   Cons - 1: nid = 1050 2: rooms = 8.0 
62,"2442 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1334693,-15306,-0.011467805705132192,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1344020 2: baths = 1.0 
63,"3725 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1237007,87007,0.07033670787634994,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1055976 2: baths = 1.0 
64,"1701 44th Ave, San Francisco, CA 94122-4013",2 - Outer Sunset,2030,1100000,1094279,-5720,-0.005227186119810396,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 974863 2: lot_sf = 1438.0 
65,"2583 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1330000,1204520,-125479,-0.10417344668415635,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1168922 2: baths = 1.0 
66,"1841 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1327122,127122,0.0957877271268203,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1049162 2: nid = 2030 
67,"4220 Irving St, San Francisco, CA 94122",2 - Outer Sunset,2030,1442000,1438298,-3701,-0.002573180244984002,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1261476 2: nid = 2030 
68,"1967 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1263778,-236221,-0.1869165312262122,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1029991 2: nid = 2020 
69,"1987 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1315000,1194527,-120472,-0.10085330846435452,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1203732 2: baths = 1.0 
70,"635 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1489489,-60510,-0.0406246706085107,Pros - 1: year_sold = 2018 2: latitude = 37.77664   Cons - 1: comp_price = 1369341 2: baths = 1.0 
71,"1425 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1550000,1451601,-98398,-0.0677858447328157,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1167768 2: nid = 2030 
72,"786 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1285000,1572265,287265,0.1827077496478011,Pros - 1: year_sold = 2018 2: latitude = 37.773945   Cons - 1: comp_price = 1445365 2: nid = 1050 
73,"851 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2100000,1820110,-279889,-0.15377587068913418,Pros - 1: year_sold = 2018 2: latitude = 37.772655   Cons - 1: nid = 1050 2: longitude = -122.50247 
74,"2419 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,800000,1263095,463095,0.36663513037419987,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1186708 2: baths = 1.0 
75,"1731 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1396216,6216,0.004452033209761241,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1213378 2: nid = 2030 
76,"1750 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1260000,1331457,71457,0.053668274679542785,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1189401 2: nid = 2030 
77,"1814 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1600000,1319476,-280523,-0.21260182072277176,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1166113 2: lot_sf = 2063.0 
78,"2651 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1105000,1512372,407372,0.2693596548997204,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: comp_price = 1414605 2: nid = 2020 
79,"1846 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1159900,1230508,70608,0.057381179155275706,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1084886 2: baths = 1.0 
80,"1979 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1253220,-146779,-0.1171214950288058,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1189216 2: beds = 5 
81,"3217 Santiago St, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1217976,-132023,-0.10839540352190848,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1048309 2: lot_sf = 1873.0 
82,"2194 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1625711,1235826,-389884,-0.31548454232230105,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1173756 2: lot_sf = 1746.0 
83,"1450 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1410000,1441314,31314,0.021726008350713307,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1414987 2: baths = 1.0 
84,"811 41st Ave, San Francisco, CA 94121-3320",1 - Outer Richmond,1050,1500000,1454669,-45330,-0.03116172820071095,Pros - 1: year_sold = 2018 2: latitude = 37.773342   Cons - 1: comp_price = 1363067 2: baths = 1.0 
85,"1662 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1251662,1325355,73693,0.05560246122736927,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1192616 2: baths = 1.0 
86,"3509 Noriega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1319045,169045,0.12815711366935928,Pros - 1: year_sold = 2018 2: rooms = 1.0   Cons - 1: comp_price = 1201334 2: baths = 1.0 
87,"3927 Clement St, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1749352,149352,0.08537561336997929,Pros - 1: year_sold = 2018 2: latitude = 37.781258   Cons - 1: baths = 1.0 2: nid = 1050 
88,"1710 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1192738,-7261,-0.006087673906591389,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1062478 2: baths = 1.0 
89,"2559 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1193122,-156877,-0.13148445842084883,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1030046 2: baths = 1.0 
90,"1739 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1378769,-11230,-0.008144946687951354,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1262440 2: nid = 2030 
91,"7633 Geary Blvd, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1946798,346798,0.17813763934419494,Pros - 1: year_sold = 2018 2: latitude = 37.779284999999994   Cons - 1: nid = 1050 2: longitude = -122.50118 
92,"1822 42nd, San Francisco, CA 94122",2 - Outer Sunset,2030,1400000,1502904,102904,0.06847010853653993,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1413106 2: nid = 2030 
93,"1946 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1201822,-198177,-0.16489713118914448,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1112921 2: baths = 1.0 
94,"3218 Rivera St, San Francisco, CA 94116",2 - Outer Parkside,2020,1470000,1183044,-286955,-0.2425564898685087,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1022959 2: baths = 1.0 
95,"2023 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1376000,1332756,-43243,-0.0324462992475742,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1068111 2: nid = 2020 
96,"1242 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1250000,1319096,69096,0.05238132781844536,Pros - 1: year_sold = 2018 2: latitude = 37.76355   Cons - 1: comp_price = 1336582 2: baths = 1.0 
97,"1350 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1902000,1728630,-173369,-0.10029271735420535,Pros - 1: year_sold = 2018 2: baths = 4.0   Cons - 1: rooms = 9.0 2: beds = 5 
98,"1371 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1484722,184722,0.12441521038955441,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1449476 2: baths = 1.0 
99,"1391 41st Ave, San Francisco, CA 94122-1206",2 - Outer Sunset,2030,1225000,1321250,96250,0.0728476821192053,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1142957 2: lot_sf = 2060.0 
100,"1390 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1235000,1624714,389714,0.23986621645409592,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1499955 2: nid = 2030 
101,"4127 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1769800,1550350,-219449,-0.14154803753991035,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: nid = 2020 2: comp_price = 1547277 
102,"1463 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225000,1443015,218015,0.15108297557544448,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1234128 2: nid = 2030 
103,"1459 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1371279,71279,0.05197993989552819,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1206037 2: baths = 1.0 
104,"1500 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1485214,185214,0.12470526132934379,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1395015 2: lot_sf = 1875.0 
105,"1519 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1420000,1455589,35589,0.024449896227575228,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1331002 2: nid = 2030 
106,"778 40th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1330000,1683858,353858,0.2101471739303433,Pros - 1: year_sold = 2018 2: latitude = 37.774174   Cons - 1: rooms = 11.0 2: nid = 1050 
107,"2395 42nd Ave, San Francisco, CA 94116-2104",2 - Outer Parkside,2020,1180000,1325400,145400,0.10970273125094311,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1273515 2: lot_sf = 1438.0 
108,"2419 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1075000,1216610,141610,0.11639720206146588,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1121594 2: baths = 1.0 
109,"2501 42nd Ave, San Francisco, CA 94116-2713",2 - Outer Parkside,2020,1155000,1054072,-100927,-0.09574962621149219,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 948088 2: baths = 1.0 
110,"1678 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1050000,1336155,286155,0.2141630274930678,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1195434 2: baths = 1.0 
111,"2527 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1646000,1327251,-318748,-0.24015653406929058,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1206767 2: nid = 2020 
112,"4839 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,1005000,1011678,6678,0.006600914520232723,Pros - 1: year_sold = 2018 2: latitude = 37.77746   Cons - 1: comp_price = 976969 2: lot_sf = 1298.0 
113,"2734 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1685979,185979,0.11030920313954089,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: beds = 5 2: nid = 2020 
114,"1947 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1360000,1281665,-78334,-0.061118935135156226,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1069834 2: nid = 2020 
115,"2119 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1325000,1174304,-150695,-0.12832707714527072,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1006057 2: baths = 1.0 
116,"611 39th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1800000,1639226,-160773,-0.09807860539059288,Pros - 1: year_sold = 2018 2: latitude = 37.777172   Cons - 1: lot_sf = 1873.0 2: nid = 1050 
117,"2179 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1910000,1721353,-188646,-0.10959169908786867,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: nid = 2020 2: longitude = -122.49956499999999 
118,"1423 40th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,950000,1355028,405028,0.2989074764506711,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1239806 2: baths = 1.0 
119,"3749 Clement St, San Francisco, CA 94121",1 - Outer Richmond,1050,2500000,3973098,1473098,0.37076810086234974,Pros - 1: comp_price = 4949111 2: year_sold = 2018   Cons - 1: nid = 1050 2: rooms = 8.0 
120,"1679 40th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1085000,1303534,218534,0.1676473340933186,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1141074 2: baths = 1.0 
